QNO,Q1,Q2,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q5g,Q5h,Q5i,Q6,Q7a,Q7b,Q7c,Q7d,Q7e,Q7f,Q8a,Q8b,Q8c,Q8d,Q9,Q10,Q11,Q12,Q13,Q14
52,1,3,2,1,1,3,3,4,3,3,3,3,4,3,3,3,2,2,2,2,25,75,0,0,2,3,2,0,2,4
53,1,3,1,1,1,3,3,4,3,3,4,2,4,3,4,3,1,2,3,2,0,95,5,0,3,3,2,1,4,3
54,0, , , , , , , , , , , , , , , , , , , , , , , ,4,3,2,0,4,3
55,1,2,1,1,3,3,4,4,3,4,4,4,4,3,3,4,2,3,4,2,0,100,0,0,3,2,2,1,3,4
56,1,1,1,0,2,2,4,4,4,4,4,4,4,2,3,4,4,2,4,4,50,10,30,10,2,2,3,1,3,5
57,1,2,1,1,1,1,4,4,4,4,4,4,4,4,1,4,2,2,4,2,0,75,25,0,3,3,2,0,4,5
58,1,2,1,1,2,4,4,4,4,4,4,4,4,3,1,4,2,1,3, ,0,80,20,0,3,2,2,0,4,4
59,1,1,1,1,1,2,3,4,4,4,4,3,3,2,3,3,3,3,3,2,1,97,2,0,3,4,2,0,4,4
60,1,3,1,2,1,4,4,4,3,3,4,3,3,2,2,3,4,3,4,3,30,70,0,0,4,4,2,0,4,3
61,1,3,1,1,1,4,3,4,3,3,4,3,4,3,3,3,3,2,2,1,0,100,0,0,3,3,1,1,4,5
62,1,2,1,0,1,1,1,4,3,3,4,4,3,3,1,2,3,1,4,2,0,90,10,0,3,4,2,1,4,3
63,1,2,2,0,1,3,3,4,4,4,4,4,4,2,3,3,3,3,3,3,0,100,0,0,4,3,2,0,4,3
64,1,2,1,1,1,3,3,4,2,3,4,3,4,2,4,2,4,3,4, ,0,100,0,0,3,2,2,1,4,5
65,1,1,1,1,1,3,3,3,3,3,3,2,3,2,1,2,3,3,3,1,0,100,0,0,4,3,2,1,4,3
66,1,1,1,1,1,3,2,4,3,4,3,3,3,2,4,4,3,2,2,2,0,90,10,0,4,4,2,0,4,3
67,1,2,1,2,1,2,3,4,4,4,4,4,4,4,3,3,3,3,4,4,5,90,5,0,3,4,1,1,4,3
68,1,3,1,1,1,1,1,3,3,3,3,3,4,3,3,2,4,2,3,1,0,50,50,0,2,4,1,1,4,3
69,1,2,1,1,1,3,3,4,4,4,4,2,4,4,3,4,3,1,4,1,0,95,5,0,3,4,2,1,4,3
70,0, , , , , , , , , , , , , , , , , , , , , , , ,3,3,2,1,4,3
71,1,4,1,0,1,1,4,4,4,4,4,4,4,2,4,4,1,4,1,1,0,100,0,0,3,3,1,0,4,3
72,1,3,2,1,1,1,1,3,3,3,3,3,2,3,2,4,2,1,1,1,10,80,10,0,2,2,2,1,4,3
73,1,1,3,1,1,1,3,4,3,4,4,3,4,2,1,2,1,4,3,3,0,40,60,0,3,3,2,0,2,3
74,1,1,4,0,3,1,1,4,4,4,4,4,4,3,2,1,3,3,3,3,0,100,0,0,4,3,2,0,2,5
75,1,1,1,1,1,2,4,4,4,3,4,3,4,3,3,4,2,3,1,1,10,85,5,0,3,3,2,1,2,3
76,1,3,1,2,1,2,3,4,4,4,4,3,4,3,1,4,1,4,3,2,0,95,5,0,3,4,2,1,4,5
77,1,1,.5,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,3,2,0,95,5,0,4,3,2,1,3,3
78,1,3,3,1,1,2,4,4,3,4,4,3,4,3,4,4,4,2,2,2,5,95,0,0,3,3,2,1,2,2
79,1,2,1,2,2,4,4,4,2,4,4,3,4,2,3,3,3,3,3,3,0,100,0,0,3,2,2,0,2,5
80,1,2,1,0,1,2,3,4,4,4,4,3,3,3,3,3,2,2,1,2,1,97,1,1,2,3,2,0,4,4
81,0, , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,1,3,5
82,1,3,1,1,1,3,3,4,3,3,3,2,4,3,1,4,3,4,3,1,0,95,5,0,4,3,2,1,3,3
83,1,2,1,0,2,3,4,4,4,4,4,2,3,3,2,2,3,2,3,3,0,100,0,0,3,4,1,1,3,3
84,1,3,7,1,1,4,4,4,3,4,4,2,4,3,4,1,4,3,3,3,10,90,0,0,3,3,2,1,3,3
85,1,2,1,0,1,4,4,4,4,4,4,3,4,1,4,4,4,3,4, ,0,100,0,0,4,4,2,1,3,2
86,1,2,1,1,1,2,4,4,4,4,4,3,4,2,4,4,3,1,3,2,0,95,5,0,4,4,2,0,3,3
87,1,1,1,3,1,4,4,4,4,4,4,3,4,3,4,1,4,1,4,1,0,100,0,0,3,3,2,1,5,5
88,1,2,1,1,1,3,2,3,2,3,2,3,3,2,3,3,3,2,3,2,0,100,0,0,3,3,2,0,2,3
89,1,4,3,1,1,4,3,4,4,4,4,4,4,3,3,4,4,3,4,3,15,80,5,0,3,4,4,0,2,3
90,1,4,2,0,1,1,3,4,4,4,4,4,4,3,1,3,3,3,4,4,0,75,25,0,3,4,2,0,2,3
91,0, , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,1,4,5
92,1,2,1,1,1,3,3,3,2,3,4,3,3,3,3,3,1,1,1,1,0,100,0,0,4,4,2,0,4,4
93,1,2,2,1,2,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,1,98,1,0,4,4,1,1,2,3
94,1,2,1,2,1,3,3,4,4,4,4,3,3,2,4,4,4,3,3,3,50,50,0,0,4,4,2,0,4,4
95,1,3,2,0,1,2,4,4,4,3,3,4,4,4,4,4,4,3,3,2,10,80,10,0,4,4,2,1,2,3
96,0, , , , , , , , , , , , , , , , , , , , , , , ,3,3,2,1,4,3
97,1,3,2,1,1,3,4,4,4,3,3,3,4,3,4,4,4,3,3,2,0,75,25,0,3,4,2,1,2,3
98,1,2,1,1,1,3,3,4,4,4,4,3,3,3,3,4,3,4,4,2,0,80,20,0,4,3,2,1,4,3
99,0, , , , , , , , , , , , , , , , , , , , , , , ,3,3,2,1,4,3
100,1,3,4,1,1,3,3,4,4,4,4,3,3,3,2,4,4,2,3,3,10,75,15,0,3,4,2,1,2,3
101,1,1,.2,0,1,2,3,4,3,4,4,3,3,2,3,1,3,3,3,1,0,95,5,0,3,4,1,0,4,2
102,1,3,1,0,2,1,3,4,3,3,4,2,4,3,4,3,4,2,3,2,0,75,25,0,3,4,2,1,2,2
103,1,3,1,1,1,3,3,3,3,3,3,3,3,3,1,3,1,1,2,1,0,100,0,0,2,3,4,1,2,3
104,1,2,1,1,1,1,4,4,4,4,4,4,4,3,2,2,3,3,3,3,0,100,0,0,2,3, ,1,3,3
105,1,4,1,1,1,3,3,4,3,3,3,1,4,3,4,3,1,2,3,1,0,100,0,0,3,2,2,1,3,2
106,1,2,1,1,1,2,3,4,4,4,4,2,3,3,3,3,1,3,3,2,10,60,30,0,4,2,2,0,3,2
107,1,2,1,1,1,4,4,4,3,4,4,4,4,3,4,4,3,2,2,2,0,99,1,0,3,3,2,1,3,2
108,1,1,.3,2,1,3,4,4,3,3,3,3,4,2,1,4,3,4,3,1,0,100,0,0,2,3,2,1,3,5
109,1,1,1,1,1,2,2,3,3,3,3,4,4,2,1,2,2,3,4,1,10,90,0,0,3,3,2,1,4,3
110,1,2,2,0,1,1,3,4,3,3,3,3,4,3,3,3,2,1,4,4,0,98,2,0,3,3,2,1,2,2
111,1,1,.2,1,1,3,3,4,4,4,3,3,4,2,4,4,1,3,3,2,0,10,90,0,2,3,2,1,2,2
112,1,3,2,2,1,3,3,4,3,2,3,2,4,1,4,4,4,2,2,2,0,100,0,0,3,4,2,1,5,4
113,1,2,1,2,1,2,3,4,4,4,4,3,4,2,3,4,3,3,3,1,0,100,0,0,4,4,2,1,5,5
114,0, , , , , , , , , , , , , , , , , , , , , , , ,3,1,2,1,5,5
115,1,3,2,2,1,2,2,4,4,4,4,2,3,3,2,4,3,2,3,2,50,40,10,0,2,2,2,1,2,5
116,1,3,2,0,1,1,3,4,4,4,4,3,4,3,3,4,2,2,3,1,5,90,5,0,3,3,2,1,2,3
