Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumRules,measureOutOfBagError
spambase,1,1,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0221005232300002E7,4140.0,461.0,428.0,33.0,0.0,92.84164859002169,7.158351409978308,0.0,0.8523167428721206,0.1272613523859088,0.25234697514823184,26.640492162401717,51.625072925871216,446.16755515500336,157.29247301966438,288.87508213533897,0.9678254992516342,0.34119842303614834,0.6266270762154859,338.3634615035369,0.7339771399209043,75.83775592691535,0.9505494505494505,173.0,0.08602150537634409,24.0,0.9139784946236559,255.0,0.04945054945054945,9.0,0.8781725888324873,0.9505494505494505,0.9129287598944591,0.8542436421450561,0.950204813108039,0.910152562838616,0.928416485900217,0.06388854072711046,0.9361114592728896,0.07158351409978309,0.9312712527790651,0.928416485900217,0.9288443236351827,0.8542436421450561,0.950204813108039,0.9353272236431464,0.9260776396157379,0.928416485900217,0.909,0.003,0.863681,0.002184,863.681,2.184,12512.0,2045322.0,231575.0,99.34924078091106,90.88937093275489,?,9.0,?
spambase,1,2,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0221005232300002E7,4141.0,460.0,425.0,35.0,0.0,92.3913043478261,7.608695652173913,0.0,0.8398137461694591,0.11242970700314249,0.2619808819260719,23.54789360045447,53.62726161123842,444.824115587931,172.5727391054823,272.2513764824487,0.9670089469302847,0.37515812849017893,0.5918508184401058,347.7214058224268,0.7559160996139713,78.17053834026916,0.8895027624309392,161.0,0.053763440860215055,15.0,0.946236559139785,264.0,0.11049723756906077,20.0,0.9147727272727273,0.8895027624309392,0.9019607843137254,0.8400337235382607,0.9315035941305768,0.9046880941287976,0.9239130434782609,0.08817372190753668,0.9118262780924633,0.07608695652173914,0.9237521224183043,0.9239130434782609,0.9237180855815953,0.8400337235382606,0.9315035941305767,0.9163070042871694,0.9198969108069515,0.9239130434782609,1.211,0.002,1.1607750000000001,0.001846,1160.775,1.846,15418.0,2045815.0,231082.0,94.1304347826087,53.80434782608695,?,15.0,?
spambase,1,3,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0221005232300002E7,4141.0,460.0,422.0,38.0,0.0,91.73913043478261,8.26086956521739,0.0,0.8265907422471777,0.11806336652470925,0.2744805375412052,24.727838105613888,56.18593038429911,444.824115587931,2328.186903357375,-1883.362787769444,0.9670089469302847,5.061275876863858,-4.094266929933574,342.0740177092963,0.7436391689332528,76.90096056441809,0.8895027624309392,161.0,0.06451612903225806,18.0,0.9354838709677419,261.0,0.11049723756906077,20.0,0.8994413407821229,0.8895027624309392,0.8944444444444445,0.826625171296519,0.9200083169963762,0.8678908328699038,0.9173913043478261,0.09240467094914492,0.907595329050855,0.08260869565217391,0.9172635466000274,0.9173913043478261,0.9173093512767426,0.8266251712965191,0.9200083169963762,0.8986657102408903,0.9132936507936509,0.9173913043478261,0.914,0.001,0.8812000000000001,6.47E-4,881.2,0.647,16135.0,2045815.0,231082.0,94.78260869565217,60.43478260869565,?,17.0,?
spambase,1,4,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0221005232300002E7,4141.0,460.0,427.0,33.0,0.0,92.82608695652173,7.173913043478261,0.0,0.8474801061007957,0.12461742631993264,0.25806400597189416,26.10055628502374,52.82548046618245,444.824115587931,168.33988854858006,276.4842270393509,0.9670089469302847,0.3659562794534349,0.6010526674768498,339.96292800571194,0.7390498434906781,76.42637080419475,0.8674033149171271,157.0,0.03225806451612903,9.0,0.967741935483871,270.0,0.13259668508287292,24.0,0.9457831325301205,0.8674033149171271,0.9048991354466858,0.8495240835669072,0.9234836333392741,0.8988862291039467,0.9282608695652174,0.09311561916421934,0.9068843808357806,0.07173913043478261,0.9291548625736309,0.9282608695652174,0.927649305844837,0.8495240835669072,0.9234836333392742,0.9081537347511552,0.9236537562050183,0.9282608695652174,0.833,0.0,0.819028,4.95E-4,819.028,0.495,13298.0,2045815.0,231082.0,99.34782608695652,90.43478260869566,?,11.0,?
spambase,1,5,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0221005232300002E7,4141.0,460.0,426.0,34.0,0.0,92.6086956521739,7.391304347826087,0.0,0.8445420750253464,0.12215551050770916,0.26207478206310447,25.584919153656895,53.64648288867269,444.824115587931,179.590235577533,265.23388001039797,0.9670089469302847,0.39041355560333263,0.5765953913269521,341.24756126895477,0.7418425244977278,76.71516658172244,0.8950276243093923,162.0,0.053763440860215055,15.0,0.946236559139785,264.0,0.10497237569060773,19.0,0.9152542372881356,0.8950276243093923,0.9050279329608939,0.8446833574518322,0.9250084160082378,0.8750876857370528,0.9260869565217391,0.08482277307256192,0.9151772269274382,0.07391304347826087,0.9259338438823949,0.9260869565217391,0.9259370702330497,0.8446833574518322,0.9250084160082377,0.9039467264441469,0.9222648561601623,0.9260869565217391,0.81,0.001,0.783659,5.610000000000001E-4,783.659,0.561,14151.0,2045815.0,231082.0,98.69565217391305,89.45652173913044,?,13.0,?
spambase,1,6,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0221005232300002E7,4141.0,460.0,422.0,38.0,0.0,91.73913043478261,8.26086956521739,0.0,0.8272624859181374,0.11451423227988775,0.2688938312853433,23.98448799114236,55.0423364100915,444.824115587931,177.591554208586,267.232561379345,0.9670089469302847,0.3860685961056217,0.580940350824663,344.512546046715,0.7489403174928587,77.44916113447837,0.9005524861878453,163.0,0.07168458781362007,20.0,0.9283154121863799,259.0,0.09944751381215469,18.0,0.8907103825136612,0.9005524861878453,0.8956043956043958,0.8272966764917451,0.9345432582823422,0.9067120544816368,0.9173913043478261,0.08852340597360084,0.9114765940263991,0.08260869565217391,0.9175839463827298,0.9173913043478261,0.9174696745231622,0.8272966764917452,0.9345432582823422,0.9200905458882017,0.9136295359316943,0.9173913043478261,1.197,0.0,1.169141,6.25E-4,1169.141,0.625,16147.0,2045815.0,231082.0,95.43478260869566,56.41304347826087,?,18.0,?
spambase,1,7,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0221005232300002E7,4141.0,460.0,424.0,36.0,0.0,92.17391304347827,7.826086956521739,0.0,0.8360363571555872,0.1140393246521674,0.2695367841645401,23.88502073657333,55.173948312467324,444.824115587931,1257.4049188671045,-812.5808032791736,0.9670089469302847,2.733488954058923,-1.7664800071286382,345.85478906773665,0.7518582371037753,77.75090804387145,0.9005524861878453,163.0,0.06451612903225806,18.0,0.9354838709677419,261.0,0.09944751381215469,18.0,0.9005524861878453,0.9005524861878453,0.9005524861878453,0.8360363571555872,0.9254242658270461,0.8779202016324368,0.9217391304347826,0.08570277327919537,0.9142972267208047,0.0782608695652174,0.9217391304347826,0.9217391304347826,0.9217391304347826,0.8360363571555872,0.9254242658270461,0.9064762820001128,0.9180181785777937,0.9217391304347826,1.212,0.001,1.191357,5.49E-4,1191.357,0.549,17348.0,2045815.0,231082.0,94.56521739130434,57.93478260869565,?,20.0,?
spambase,1,8,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0221005232300002E7,4141.0,460.0,422.0,38.0,0.0,91.73913043478261,8.26086956521739,0.0,0.8282603996777427,0.11258134996722914,0.2676973471849178,23.57965453338539,54.79741714195455,444.824115587931,1246.15500014396,-801.3308845560291,0.9670089469302847,2.7090326090086085,-1.742023662078324,345.9700327125486,0.7521087667664099,77.77681573205054,0.9171270718232044,166.0,0.08243727598566308,23.0,0.9175627240143369,256.0,0.08287292817679558,15.0,0.8783068783068783,0.9171270718232044,0.8972972972972972,0.8288022965289409,0.9408701162399256,0.908399398783145,0.9173913043478261,0.08270150851028474,0.9172984914897152,0.08260869565217391,0.9185450881423928,0.9173913043478261,0.9176835808140156,0.8288022965289409,0.9408701162399256,0.9259027512111403,0.9141031941031941,0.9173913043478261,1.342,0.001,1.3192629999999999,4.97E-4,1319.263,0.497,17912.0,2045815.0,231082.0,95.43478260869566,57.5,?,21.0,?
spambase,1,9,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0221005232300002E7,4141.0,460.0,429.0,31.0,0.0,93.26086956521739,6.739130434782608,0.0,0.8581376840429764,0.10500958779789175,0.2533762670955379,21.97492167913689,51.81588741956556,445.4453609621441,3377.9664409595384,-2932.5210799973943,0.9683594803524872,7.343405306433779,-6.375045826081292,355.60532308221764,0.773055050178734,79.83141239009076,0.8956043956043956,163.0,0.04316546762589928,12.0,0.9568345323741008,266.0,0.1043956043956044,19.0,0.9314285714285714,0.8956043956043956,0.9131652661064426,0.8585783080487654,0.9248161910032414,0.869932004401839,0.9326086956521739,0.08016976767367759,0.9198302323263224,0.06739130434782609,0.9325797101449276,0.9326086956521739,0.9323669478603087,0.8585783080487654,0.9248161910032415,0.9023602543653013,0.9290515495718714,0.9326086956521739,1.017,0.0,1.000572,4.4500000000000003E-4,1000.572,0.445,17472.0,2045815.0,231082.0,94.56521739130434,59.891304347826086,?,19.0,?
spambase,1,10,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0221005232300002E7,4141.0,460.0,426.0,34.0,0.0,92.6086956521739,7.391304347826087,0.0,0.8457350272232305,0.11669141817059005,0.25543758025976887,24.41952995626948,52.23742954771598,445.4453609621441,163.5192498595883,281.92611110255575,0.9683594803524872,0.35547663012953984,0.6128828502229473,345.95425805451146,0.7520744740315466,77.66480209991728,0.9120879120879121,166.0,0.06474820143884892,18.0,0.935251798561151,260.0,0.08791208791208792,16.0,0.9021739130434783,0.9120879120879121,0.907103825136612,0.8457698503653766,0.9395802039686931,0.9117832369606705,0.9260869565217391,0.07874724587267597,0.921252754127324,0.07391304347826087,0.9262602394454946,0.9260869565217391,0.9261554876819742,0.8457698503653767,0.9395802039686931,0.9259113569867352,0.9228659919906886,0.9260869565217391,0.639,0.001,0.6310439999999999,4.28E-4,631.044,0.428,14866.0,2045815.0,231082.0,98.91304347826087,85.54347826086956,?,15.0,?
